"env_name","env_mode","val_type","val_min","val_max","val_regex","val_enum","val_list","meta_description","meta_allowed"
"ENSHROUDED_GS_DAY_TIME_DURATION","soft","number","120000000000","3600000000000","null","null","null","Game setting override (Custom): DAY_TIME_DURATION.","Allowed: number 120000000000..3600000000000"
"ENSHROUDED_GS_ENABLE_DURABILITY","soft","bool","null","null","null","null","null","Game setting override (Custom): ENABLE_DURABILITY.","Allowed: true | false"
"ENSHROUDED_GS_ENABLE_GLIDER_TURBULENCES","soft","bool","null","null","null","null","null","Game setting override (Custom): ENABLE_GLIDER_TURBULENCES.","Allowed: true | false"
"ENSHROUDED_GS_ENABLE_STARVING_DEBUFF","soft","bool","null","null","null","null","null","Game setting override (Custom): ENABLE_STARVING_DEBUFF.","Allowed: true | false"
"ENSHROUDED_GS_ENEMY_DAMAGE_FACTOR","soft","number","0.25","5","null","null","null","Game setting override (Custom): ENEMY_DAMAGE_FACTOR.","Allowed: number 0.25..5"
"ENSHROUDED_GS_ENEMY_HEALTH_FACTOR","soft","number","0.25","4","null","null","null","Game setting override (Custom): ENEMY_HEALTH_FACTOR.","Allowed: number 0.25..4"
"ENSHROUDED_GS_ENEMY_PERCEPTION_RANGE_FACTOR","soft","number","0.5","2","null","null","null","Game setting override (Custom): ENEMY_PERCEPTION_RANGE_FACTOR.","Allowed: number 0.5..2"
"ENSHROUDED_GS_ENEMY_STAMINA_FACTOR","soft","number","0.5","2","null","null","null","Game setting override (Custom): ENEMY_STAMINA_FACTOR.","Allowed: number 0.5..2"
"ENSHROUDED_GS_EXPERIENCE_COMBAT_FACTOR","soft","number","0.25","2","null","null","null","Game setting override (Custom): EXPERIENCE_COMBAT_FACTOR.","Allowed: number 0.25..2"
"ENSHROUDED_GS_EXPERIENCE_EXPLORATION_QUESTS_FACTOR","soft","number","0.25","2","null","null","null","Game setting override (Custom): EXPERIENCE_EXPLORATION_QUESTS_FACTOR.","Allowed: number 0.25..2"
"ENSHROUDED_GS_EXPERIENCE_MINING_FACTOR","soft","number","0","2","null","null","null","Game setting override (Custom): EXPERIENCE_MINING_FACTOR.","Allowed: number 0..2"
"ENSHROUDED_GS_FACTORY_PRODUCTION_SPEED_FACTOR","soft","number","0.25","2","null","null","null","Game setting override (Custom): FACTORY_PRODUCTION_SPEED_FACTOR.","Allowed: number 0.25..2"
"ENSHROUDED_GS_FISHING_DIFFICULTY","soft","string","null","null","null","VeryEasy|Easy|Normal|Hard|VeryHard","null","Game setting override (Custom): FISHING_DIFFICULTY.","Allowed: VeryEasy | Easy | Normal | Hard | VeryHard"
"ENSHROUDED_GS_FOOD_BUFF_DURATION_FACTOR","soft","number","0.5","2","null","null","null","Game setting override (Custom): FOOD_BUFF_DURATION_FACTOR.","Allowed: number 0.5..2"
"ENSHROUDED_GS_FROM_HUNGER_TO_STARVING","soft","number","300000000000","1200000000000","null","null","null","Game setting override (Custom): FROM_HUNGER_TO_STARVING.","Allowed: number 300000000000..1200000000000"
"ENSHROUDED_GS_MINING_DAMAGE_FACTOR","soft","number","0.5","2","null","null","null","Game setting override (Custom): MINING_DAMAGE_FACTOR.","Allowed: number 0.5..2"
"ENSHROUDED_GS_NIGHT_TIME_DURATION","soft","number","120000000000","3600000000000","null","null","null","Game setting override (Custom): NIGHT_TIME_DURATION.","Allowed: number 120000000000..3600000000000"
"ENSHROUDED_GS_PACIFY_ALL_ENEMIES","soft","bool","null","null","null","null","null","Game setting override (Custom): PACIFY_ALL_ENEMIES.","Allowed: true | false"
"ENSHROUDED_GS_PERK_COST_FACTOR","soft","number","0.25","2","null","null","null","Game setting override (Custom): PERK_COST_FACTOR.","Allowed: number 0.25..2"
"ENSHROUDED_GS_PERK_UPGRADE_RECYCLING_FACTOR","soft","number","0","1","null","null","null","Game setting override (Custom): PERK_UPGRADE_RECYCLING_FACTOR.","Allowed: number 0..1"
"ENSHROUDED_GS_PLANT_GROWTH_SPEED_FACTOR","soft","number","0.25","2","null","null","null","Game setting override (Custom): PLANT_GROWTH_SPEED_FACTOR.","Allowed: number 0.25..2"
"ENSHROUDED_GS_PLAYER_BODY_HEAT_FACTOR","soft","number","null","null","null","0.5|1|1.5|2","null","Game setting override (Custom): PLAYER_BODY_HEAT_FACTOR.","Allowed: 0.5 | 1 | 1.5 | 2"
"ENSHROUDED_GS_PLAYER_DIVING_TIME_FACTOR","soft","number","0.5","2","null","null","null","Game setting override (Custom): PLAYER_DIVING_TIME_FACTOR.","Allowed: number 0.5..2"
"ENSHROUDED_GS_PLAYER_HEALTH_FACTOR","soft","number","0.25","4","null","null","null","Game setting override (Custom): PLAYER_HEALTH_FACTOR.","Allowed: number 0.25..4"
"ENSHROUDED_GS_PLAYER_MANA_FACTOR","soft","number","0.25","4","null","null","null","Game setting override (Custom): PLAYER_MANA_FACTOR.","Allowed: number 0.25..4"
"ENSHROUDED_GS_PLAYER_STAMINA_FACTOR","soft","number","0.25","4","null","null","null","Game setting override (Custom): PLAYER_STAMINA_FACTOR.","Allowed: number 0.25..4"
"ENSHROUDED_GS_PRESET","soft","string","null","null","null","Default|Relaxed|Hard|Survival|Custom","null","Game settings preset.","Allowed: Default | Relaxed | Hard | Survival | Custom"
"ENSHROUDED_GS_RANDOM_SPAWNER_AMOUNT","soft","string","null","null","null","Few|Normal|Many|Extreme","null","Game setting override (Custom): RANDOM_SPAWNER_AMOUNT.","Allowed: Few | Normal | Many | Extreme"
"ENSHROUDED_GS_RESOURCE_DROP_STACK_AMOUNT_FACTOR","soft","number","0.25","2","null","null","null","Game setting override (Custom): RESOURCE_DROP_STACK_AMOUNT_FACTOR.","Allowed: number 0.25..2"
"ENSHROUDED_GS_SHROUD_TIME_FACTOR","soft","number","0.5","2","null","null","null","Game setting override (Custom): SHROUD_TIME_FACTOR.","Allowed: number 0.5..2"
"ENSHROUDED_GS_TAMING_STARTLE_REPERCUSSION","soft","string","null","null","null","KeepProgress|LoseSomeProgress|LoseAllProgress","null","Game setting override (Custom): TAMING_STARTLE_REPERCUSSION.","Allowed: KeepProgress | LoseSomeProgress | LoseAllProgress"
"ENSHROUDED_GS_THREAT_BONUS","soft","number","0.25","4","null","null","null","Game setting override (Custom): THREAT_BONUS.","Allowed: number 0.25..4"
"ENSHROUDED_GS_TOMBSTONE_MODE","soft","string","null","null","null","AddBackpackMaterials|Everything|NoTombstone","null","Game setting override (Custom): TOMBSTONE_MODE.","Allowed: AddBackpackMaterials | Everything | NoTombstone"
"ENSHROUDED_GS_WEATHER_FREQUENCY","soft","string","null","null","null","Disabled|Rare|Normal|Often","null","Game setting override (Custom): WEATHER_FREQUENCY.","Allowed: Disabled | Rare | Normal | Often"
"ENSHROUDED_ROLE__CAN_ACCESS_INVENTORIES","soft","bool","null","null","null","null","null","Allow access to other players' inventories.","Allowed: true | false"
"ENSHROUDED_ROLE__CAN_EDIT_BASE","soft","bool","null","null","null","null","null","Allow editing bases.","Allowed: true | false"
"ENSHROUDED_ROLE__CAN_EDIT_WORLD","soft","bool","null","null","null","null","null","Allow editing the world.","Allowed: true | false"
"ENSHROUDED_ROLE__CAN_EXTEND_BASE","soft","bool","null","null","null","null","null","Allow extending bases.","Allowed: true | false"
"ENSHROUDED_ROLE__CAN_KICK_BAN","soft","bool","null","null","null","null","null","Allow kicking/banning players.","Allowed: true | false"
"ENSHROUDED_ROLE__NAME","soft","string","null","null","^[^[:cntrl:]]*$","null","null","User group name.","Allowed: single-line string"
"ENSHROUDED_ROLE__PASSWORD","soft","string","null","null","^[^[:cntrl:]]*$","null","null","User group password (empty = auto-generated if missing in config).","Allowed: single-line string"
"ENSHROUDED_ROLE__RESERVED_SLOTS","soft","int","0","null","null","null","null","Reserved slots for this user group.","Allowed: integer >= 0"
